# Generated by QuTiP: 5000x9 real matrix in decimal format [',' separated values].
0.0336067213,0.0155470976,0.0135816071,0.9704951978,0.0002467656,0.0146145223,0.0145141824,0.0013396417,-0.0019202803
0.0344068814,0.0158662656,0.0139335507,0.9698138587,0.0002569931,0.0149598585,0.0148399578,0.0013066854,-0.0017365870
0.0352070414,0.0161706382,0.0142990822,0.9691334587,0.0002674890,0.0153039107,0.0151658098,0.0012543395,-0.0015593586
0.0360072014,0.0164609040,0.0146774963,0.9684540066,0.0002782613,0.0156465287,0.0154918715,0.0011837311,-0.0013906726
0.0368073615,0.0167377895,0.0150680403,0.9677755185,0.0002893199,0.0159875611,0.0158182687,0.0010960448,-0.0012325136
0.0376075215,0.0170022087,0.0154697793,0.9670980070,0.0003006730,0.0163268711,0.0161451170,0.0009927142,-0.0010866751
0.0384076815,0.0172552135,0.0158816432,0.9664214833,0.0003123282,0.0166643363,0.0164725204,0.0008753529,-0.0009547505
0.0392078416,0.0174979756,0.0163024438,0.9657459569,0.0003242918,0.0169998494,0.0168005700,0.0007457290,-0.0008381210
0.0400080016,0.0177317681,0.0167308947,0.9650714360,0.0003365693,0.0173333200,0.0171293428,0.0006057358,-0.0007379394
0.0408081616,0.0179579469,0.0171656292,0.9643979270,0.0003491650,0.0176646751,0.0174589010,0.0004573662,-0.0006551202
0.0416083217,0.0181779314,0.0176052201,0.9637254346,0.0003620821,0.0179938604,0.0177892911,0.0003026834,-0.0005903325
0.0424084817,0.0183931844,0.0180481995,0.9630539616,0.0003753226,0.0183208406,0.0181205434,0.0001437926,-0.0005439959
0.0432086417,0.0186051928,0.0184930788,0.9623835092,0.0003888873,0.0186455994,0.0184526721,-0.0000171871,-0.0005162802
0.0440088018,0.0188154469,0.0189383685,0.9617140768,0.0004027759,0.0189681401,0.0187856753,-0.0001781511,-0.0005071083
0.0448089618,0.0190254204,0.0193825990,0.9610456618,0.0004169869,0.0192884845,0.0191195349,-0.0003370382,-0.0005161623
0.0456091218,0.0192365535,0.0198243369,0.9603782601,0.0004315177,0.0196066728,0.0194542176,-0.0004918533,-0.0005428922
0.0464092819,0.0194502324,0.0202622054,0.9597118659,0.0004463644,0.0199227627,0.0197896751,-0.0006406954,-0.0005865283
0.0472094419,0.0196677737,0.0206949002,0.9590464718,0.0004615224,0.0202368284,0.0201258455,-0.0007817795,-0.0006460959
0.0480096019,0.0198904086,0.0211212044,0.9583820691,0.0004769861,0.0205489591,0.0204626539,-0.0009134567,-0.0007204313
0.0488097620,0.0201192678,0.0215400040,0.9577186476,0.0004927487,0.0208592579,0.0208000139,-0.0010342342,-0.0008082017
0.0496099220,0.0203553695,0.0219502994,0.9570561961,0.0005088031,0.0211678399,0.0211378291,-0.0011427912,-0.0009079258
0.0504100820,0.0205996180,0.0223512054,0.9563947032,0.0005251415,0.0214748291,0.0214759943,-0.0012379766,-0.0010180067
0.0512102420,0.0208527552,0.0227420045,0.9557341536,0.0005417548,0.0217803632,0.0218143965,-0.0013188843,-0.0011367117
0.0520104021,0.0211154113,0.0231220879,0.9550745347,0.0005586343,0.0220845811,0.0221529181,-0.0013847662,-0.0012622652
0.0528105621,0.0213880619,0.0234910037,0.9544158319,0.0005757705,0.0223876285,0.0224914372,-0.0014351001,-0.0013928257
0.0536107221,0.0216710484,0.0238484333,0.9537580319,0.0005931545,0.0226896521,0.0228298296,-0.0014695549,-0.0015265274
0.0544108822,0.0219645795,0.0241941893,0.9531011223,0.0006107771,0.0229907995,0.0231679693,-0.0014879873,-0.0016614878
0.0552110422,0.0222685752,0.0245283870,0.9524450795,0.0006286264,0.0232912259,0.0235057364,-0.0014906730,-0.0017958563
0.0560112022,0.0225832476,0.0248508043,0.9517899164,0.0006466999,0.0235910590,0.0238429929,-0.0014774378,-0.0019277249
0.0568113623,0.0229080338,0.0251620576,0.9511355947,0.0006649821,0.0238904573,0.0241796340,-0.0014492472,-0.0020553853
0.0576115223,0.0232425511,0.0254625495,0.9504821029,0.0006834647,0.0241895520,0.0245155486,-0.0014067777,-0.0021771846
0.0584116823,0.0235862416,0.0257528620,0.9498294258,0.0007021388,0.0244884673,0.0248506363,-0.0013509475,-0.0022916105
0.0592118424,0.0239383744,0.0260337559,0.9491775429,0.0007209949,0.0247873159,0.0251848144,-0.0012829092,-0.0023973737
0.0600120024,0.0242982102,0.0263059902,0.9485264422,0.0007400256,0.0250861969,0.0255180034,-0.0012038116,-0.0024932753
0.0608121624,0.0246650225,0.0265702942,0.9478761244,0.0007592270,0.0253852006,0.0258501161,-0.0011147728,-0.0025780827
0.0616123225,0.0250378848,0.0268276094,0.9472265806,0.0007785934,0.0256844048,0.0261810893,-0.0010171842,-0.0026508497
