# The data is aranged as : alpha, ground, dark, bright, biexc, coherence
 (0.0000e+00+0.0000e+00j), (3.5077e-01+0.0000e+00j), (3.1398e-01+0.0000e+00j), (2.0906e-01+0.0000e+00j), (1.2619e-01+0.0000e+00j), (4.4925e-14+-1.8779e-14j)
 (1.6753e+00+0.0000e+00j), (3.5083e-01+0.0000e+00j), (3.1394e-01+0.0000e+00j), (2.0902e-01+0.0000e+00j), (1.2621e-01+0.0000e+00j), (2.5670e-05+2.2387e-05j)
 (3.3506e+00+0.0000e+00j), (3.5095e-01+0.0000e+00j), (3.1386e-01+0.0000e+00j), (2.0893e-01+0.0000e+00j), (1.2625e-01+0.0000e+00j), (5.1516e-05+4.4706e-05j)
 (5.0259e+00+0.0000e+00j), (3.5113e-01+0.0000e+00j), (3.1375e-01+0.0000e+00j), (2.0881e-01+0.0000e+00j), (1.2631e-01+0.0000e+00j), (7.7723e-05+6.6894e-05j)
 (6.7013e+00+0.0000e+00j), (3.5135e-01+0.0000e+00j), (3.1362e-01+0.0000e+00j), (2.0863e-01+0.0000e+00j), (1.2639e-01+0.0000e+00j), (1.0446e-04+8.8890e-05j)
 (8.3766e+00+0.0000e+00j), (3.5163e-01+0.0000e+00j), (3.1346e-01+0.0000e+00j), (2.0842e-01+0.0000e+00j), (1.2649e-01+0.0000e+00j), (1.3191e-04+1.1063e-04j)
 (1.0052e+01+0.0000e+00j), (3.5197e-01+0.0000e+00j), (3.1327e-01+0.0000e+00j), (2.0816e-01+0.0000e+00j), (1.2661e-01+0.0000e+00j), (-1.6022e-04+-1.3207e-04j)
 (1.1727e+01+0.0000e+00j), (3.5235e-01+0.0000e+00j), (3.1305e-01+0.0000e+00j), (2.0786e-01+0.0000e+00j), (1.2674e-01+0.0000e+00j), (1.8955e-04+1.5314e-04j)
 (1.3403e+01+0.0000e+00j), (3.5278e-01+0.0000e+00j), (3.1280e-01+0.0000e+00j), (2.0753e-01+0.0000e+00j), (1.2689e-01+0.0000e+00j), (2.2001e-04+1.7380e-04j)
 (1.5078e+01+0.0000e+00j), (3.5326e-01+0.0000e+00j), (3.1254e-01+0.0000e+00j), (2.0715e-01+0.0000e+00j), (1.2705e-01+0.0000e+00j), (-2.5174e-04+-1.9399e-04j)
 (1.6753e+01+0.0000e+00j), (3.5378e-01+0.0000e+00j), (3.1225e-01+0.0000e+00j), (2.0673e-01+0.0000e+00j), (1.2724e-01+0.0000e+00j), (-2.8484e-04+-2.1369e-04j)
 (1.8428e+01+0.0000e+00j), (3.5435e-01+0.0000e+00j), (3.1193e-01+0.0000e+00j), (2.0628e-01+0.0000e+00j), (1.2743e-01+0.0000e+00j), (3.1938e-04+2.3284e-04j)
 (2.0104e+01+0.0000e+00j), (3.5496e-01+0.0000e+00j), (3.1160e-01+0.0000e+00j), (2.0579e-01+0.0000e+00j), (1.2764e-01+0.0000e+00j), (3.5544e-04+2.5142e-04j)
 (2.1779e+01+0.0000e+00j), (3.5561e-01+0.0000e+00j), (3.1125e-01+0.0000e+00j), (2.0527e-01+0.0000e+00j), (1.2787e-01+0.0000e+00j), (3.9306e-04+2.6939e-04j)
 (2.3454e+01+0.0000e+00j), (3.5630e-01+0.0000e+00j), (3.1088e-01+0.0000e+00j), (2.0471e-01+0.0000e+00j), (1.2811e-01+0.0000e+00j), (-4.3227e-04+-2.8674e-04j)
 (2.5130e+01+0.0000e+00j), (3.5703e-01+0.0000e+00j), (3.1049e-01+0.0000e+00j), (2.0412e-01+0.0000e+00j), (1.2836e-01+0.0000e+00j), (-4.7307e-04+-3.0345e-04j)
 (2.6805e+01+0.0000e+00j), (3.5778e-01+0.0000e+00j), (3.1009e-01+0.0000e+00j), (2.0350e-01+0.0000e+00j), (1.2862e-01+0.0000e+00j), (5.1548e-04+3.1950e-04j)
 (2.8480e+01+0.0000e+00j), (3.5857e-01+0.0000e+00j), (3.0968e-01+0.0000e+00j), (2.0285e-01+0.0000e+00j), (1.2890e-01+0.0000e+00j), (5.5945e-04+3.3489e-04j)
 (3.0156e+01+0.0000e+00j), (3.5939e-01+0.0000e+00j), (3.0926e-01+0.0000e+00j), (2.0217e-01+0.0000e+00j), (1.2918e-01+0.0000e+00j), (6.0495e-04+3.4960e-04j)
 (3.1831e+01+0.0000e+00j), (3.6023e-01+0.0000e+00j), (3.0883e-01+0.0000e+00j), (2.0147e-01+0.0000e+00j), (1.2947e-01+0.0000e+00j), (6.5193e-04+3.6366e-04j)
